Province_State,Country_Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
,Cambodia,100.0,87.90865057783822,1103880,127.86406699658001,3514.6839452407003,26.7,63.2,21.3,48.8254492739503,94,62,368.0,217.07473412,57.33106461,81.0469970703125,73963,142.84,208.468,6.109,68.62,75.91494,66.75045,64.2785256902872,4.11931328453079,15517635,22.188000000000002,4775000.0
,Cameroon,100.0,48.3055615493643,267208,49.8692069982459,3512.6676897790803,54.8,34.0,21.8,38.834985133672205,84,54,212.0,164.5964636,69.74412434,76.3320007324219,381984,324.623,355.63,10.347999999999999,57.582,54.038419999999995,49.750659999999996,53.801511588462404,3.1618923312693,22834522,54.578,897000.0
Alberta,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
British Columbia,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Manitoba,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
New Brunswick,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Newfoundland and Labrador,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Northwest Territories,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Nova Scotia,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Ontario,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
